15 min light on (5:40) 5 min light off (),,,,,0 top ,,,340,,,,,,,,
row ,column ,entry time ,exit time,,in video seconds,,,normalized ,,,in time seconds,,,sub time,,mean
,,1:05,1:16,,65,76,,0.1911764706,0.2235294118,,172.0588235,201.1764706,,29.11764706,,
,,1:04,1:08,,64,68,,0.1882352941,0.2,,169.4117647,180,,10.58823529,,
,,1:21,1:26,,81,86,,0.2382352941,0.2529411765,,214.4117647,227.6470588,,13.23529412,,
,,1:25,1:30,,85,90,,0.25,0.2647058824,,225,238.2352941,,13.23529412,,
,,1:32,1:37,,92,97,,0.2705882353,0.2852941176,,243.5294118,256.7647059,,13.23529412,,
,,2:11,2:16,,131,136,,0.3852941176,0.4,,346.7647059,360,,13.23529412,,
,,2:36,2:41,,156,161,,0.4588235294,0.4735294118,,412.9411765,426.1764706,,13.23529412,,
,,2:42,2:48,,162,168,,0.4764705882,0.4941176471,,428.8235294,444.7058824,,15.88235294,,
,,3:02,3:06,,182,186,,0.5352941176,0.5470588235,,481.7647059,492.3529412,,10.58823529,,
,,3:51,3:52,,231,232,,0.6794117647,0.6823529412,,611.4705882,614.1176471,,2.647058824,,
,,3:59,4:08,,239,248,,0.7029411765,0.7294117647,,632.6470588,656.4705882,,23.82352941,,
,,4:10,4:18,,250,258,,0.7352941176,0.7588235294,,661.7647059,682.9411765,,21.17647059,,
3,8,2:57,3:00,,177,180,,0.5205882353,0.5294117647,,468.5294118,476.4705882,,7.941176471,,11.02941176
,,2:59,3:02,,179,182,,0.5264705882,0.5352941176,,473.8235294,481.7647059,,7.941176471,,
,,3:55,3:59,,235,239,,0.6911764706,0.7029411765,,622.0588235,632.6470588,,10.58823529,,
,,4:08,4:13,,248,253,,0.7294117647,0.7441176471,,656.4705882,669.7058824,,13.23529412,,
,,4:58,5:03,,298,303,,0.8764705882,0.8911764706,,788.8235294,802.0588235,,13.23529412,,
,,5:35,5:40,,335,340,,0.9852941176,1,,886.7647059,900,,13.23529412,,
3,9,0:06,0:15,,6,15,,0.01764705882,0.04411764706,,15.88235294,39.70588235,,23.82352941,,11.06951872
,,0:19,0:21,,19,21,,0.05588235294,0.06176470588,,50.29411765,55.58823529,,5.294117647,,
,,0:27,0:32,,27,32,,0.07941176471,0.09411764706,,71.47058824,84.70588235,,13.23529412,,
,,0:52,0:55,,52,55,,0.1529411765,0.1617647059,,137.6470588,145.5882353,,7.941176471,,
,,0:57,1:01,,57,61,,0.1676470588,0.1794117647,,150.8823529,161.4705882,,10.58823529,,
,,3:35,3:38,,215,218,,0.6323529412,0.6411764706,,569.1176471,577.0588235,,7.941176471,,
,,3:46,3:52,,226,232,,0.6647058824,0.6823529412,,598.2352941,614.1176471,,15.88235294,,
,,3:56,4:00,,236,240,,0.6941176471,0.7058823529,,624.7058824,635.2941176,,10.58823529,,
,,4:19,4:24,,259,264,,0.7617647059,0.7764705882,,685.5882353,698.8235294,,13.23529412,,
,,5:10,5:13,,310,313,,0.9117647059,0.9205882353,,820.5882353,828.5294118,,7.941176471,,
,,5:22,5:24,,322,324,,0.9470588235,0.9529411765,,852.3529412,857.6470588,,5.294117647,,
3,10,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
4,1,1:40,1:43,,100,103,,0.2941176471,0.3029411765,,264.7058824,272.6470588,,7.941176471,,10.58823529
,,3:30,3:36,,210,216,,0.6176470588,0.6352941176,,555.8823529,571.7647059,,15.88235294,,
,,3:57,4:00,,237,240,,0.6970588235,0.7058823529,,627.3529412,635.2941176,,7.941176471,,
4,2,0:19,0:21,,19,21,,0.05588235294,0.06176470588,,50.29411765,55.58823529,,5.294117647,,7.941176471
,,3:21,3:26,,201,206,,0.5911764706,0.6058823529,,532.0588235,545.2941176,,13.23529412,,
,,3:25,3:27,,205,207,,0.6029411765,0.6088235294,,542.6470588,547.9411765,,5.294117647,,
4,3,0:03,0:10,,3,10,,0.008823529412,0.02941176471,,7.941176471,26.47058824,,18.52941176,,14.86425339
,,0:21,0:28,,21,28,,0.06176470588,0.08235294118,,55.58823529,74.11764706,,18.52941176,,
,,0:42,0:44,,42,44,,0.1235294118,0.1294117647,,111.1764706,116.4705882,,5.294117647,,
,,1:25,1:34,,85,94,,0.25,0.2764705882,,225,248.8235294,,23.82352941,,
,,1:57,1:59,,117,119,,0.3441176471,0.35,,309.7058824,315,,5.294117647,,
,,2:03,2:08,,123,128,,0.3617647059,0.3764705882,,325.5882353,338.8235294,,13.23529412,,
,,2:14,2:23,,134,143,,0.3941176471,0.4205882353,,354.7058824,378.5294118,,23.82352941,,
,,3:18,3:22,,198,202,,0.5823529412,0.5941176471,,524.1176471,534.7058824,,10.58823529,,
,,3:23,3:24,,203,204,,0.5970588235,0.6,,537.3529412,540,,2.647058824,,
,,4:14,4:24,,254,264,,0.7470588235,0.7764705882,,672.3529412,698.8235294,,26.47058824,,
,,4:39,4:44,,279,284,,0.8205882353,0.8352941176,,738.5294118,751.7647059,,13.23529412,,
,,5:07,5:13,,307,313,,0.9029411765,0.9205882353,,812.6470588,828.5294118,,15.88235294,,
,,5:29,5:35,,329,335,,0.9676470588,0.9852941176,,870.8823529,886.7647059,,15.88235294,,
4,4,0:00,0:03,,0,3,,0,0.008823529412,,0,7.941176471,,7.941176471,,11.29411765
,,0:44,0:47,,44,47,,0.1294117647,0.1382352941,,116.4705882,124.4117647,,7.941176471,,
,,1:21,1:25,,81,85,,0.2382352941,0.25,,214.4117647,225,,10.58823529,,
,,1:39,1:41,,99,101,,0.2911764706,0.2970588235,,262.0588235,267.3529412,,5.294117647,,
,,1:51,1:57,,111,117,,0.3264705882,0.3441176471,,293.8235294,309.7058824,,15.88235294,,
,,2:11,2:14,,131,134,,0.3852941176,0.3941176471,,346.7647059,354.7058824,,7.941176471,,
,,2:23,2:27,,143,147,,0.4205882353,0.4323529412,,378.5294118,389.1176471,,10.58823529,,
